SourceTextTitle,SourceTextCode,EventID,PageNumber,PageEventEnds,OrderWithinPage,Chronological Order,NarrativeStatus,StartDate,EndDate,Era,First 8-10 words of event,Summary,Indeterminate Date Range,kw_actions,kw_aesthetics,kw_cultural_issues,kw_environment,kw_relationships,kw_themes_and_motifs,LocationID,PresentMentioned,CharacterName,Race,Gender,Class,Rank,Vitality,Family,Occupation,SpecificJob,Home,Biography,CauseOfDeath,Narrator,Real,Sort Name,Nid,IndividualGroup,Disability,Ethnicity,Ontological Status,ChangesClass,CharacterKey,CharacterKeyID,Parent,financial_status,social_status,family_new,LocationTitle,Authority,X,Y,new_y,Display Label,Status,Other Structure,Role,True X,True Y,Region
"Absalom, Absalom!",AA,15493,3,4,3.01,477,Narrated,06-09-09,06-09-09,Turn of the Century (1890-1913),From a little after two oclock until almost sundown,"<p>On a hot September afternoon, Quentin Compson is listening to Rosa Coldfield in the ""office"" of her house (3).  [SOURCE: Narrator]</p>",0,Emotional > Frustration | Perceptual > Listening | Verbal > Storytelling,"Allusion, Biblical > Crucifixion | Figures of Speech > Bird | Figures of Speech > Shadow | Figures of Speech > Voice | Figures of Speech > Water | Genre Conventions > Gothic | Metafictional | Narrative > Indeterminacy | Style > Long sentence",Clothes > Mourning | Sexuality > Frustration | Sexuality > Virginity,Atmospheric > Heat | Auditory > Haunting | Time of Day > Afternoon | Time of Year > Fall,Intergenerational,Objects > Wisteria | Past > Past in present | Supernatural > Ghost,AA10,Mentioned,Charles Bon,MixedBlackWhite,Male,Upper Class,Major,Dies,Sutpen,,,,"<p>The child of Thomas Sutpen's first marriage and the fiance of Sutpen's daughter Judith whose murder in 1865 is still an unsolved mystery in 1910.  He is first mentioned by name in Chapter 3, where Mr. Compson introduces him into the narrative as ""Charles Bon of New Orleans,"" an older friend of Henry Sutpen's and fellow student at the University of Mississippi;  ""a young man of a worldly elegance and assurance beyond his years, handsome, apparently wealthy and with for background the shadowy figure of a legal guardian"" (58).   On the eve of the Civil War the engagement between him and Judith causes a rift in the Sutpen family.  During the War, he and Henry serve together in the University Grays, Bon ""receiving a lieutenancy before the company entered its first engagement"" (98).  In the last days of the War, he is killed by Henry just outside the gate to Sutpen's plantation, carrying in the silver case that Judith had given him a photograph of an ""octoroon"" woman and her child (75).  None of the storytellers in the novel, not even Rosa, ever see Bon in person, and his life and character remain as much a mystery as his death.  To Mr. Compson, for whom Bon is ""the curious one"" (74), he is an ""indolent fatalist"" (83), ""miscast for the time and knowing it"" (78).  To Rosa, he is  ""Charles Bon, Charles Good, Charles-Husband-soon-to-be"" (119), one of the Confederate heroes about whom she writes poetry.  Shreve and Quentin first cast him as an unloved and psychologically homeless child longing for his father's recognition, before Shreve ends up calling him a ""black son of a bitch"" (286).  Long after his death, his grandson and the man who murdered him end up living together at Sutpen's Hundred.</p><br />",Murder,,,"Bon, Charles",15463,Individual,,,,0,Charles Sutpen Bon,18933,Thomas Sutpen;Mrs. Thomas Sutpen(1),,,SutpensInAA,Coldfield House,Faulkner map,1267,851,-851,Coldfield House,Continuous,Middle-class House,Site of Event,,,
"Absalom, Absalom!",AA,15493,3,4,3.01,477,Narrated,06-09-09,06-09-09,Turn of the Century (1890-1913),From a little after two oclock until almost sundown,"<p>On a hot September afternoon, Quentin Compson is listening to Rosa Coldfield in the ""office"" of her house (3).  [SOURCE: Narrator]</p>",0,Emotional > Frustration | Perceptual > Listening | Verbal > Storytelling,"Allusion, Biblical > Crucifixion | Figures of Speech > Bird | Figures of Speech > Shadow | Figures of Speech > Voice | Figures of Speech > Water | Genre Conventions > Gothic | Metafictional | Narrative > Indeterminacy | Style > Long sentence",Clothes > Mourning | Sexuality > Frustration | Sexuality > Virginity,Atmospheric > Heat | Auditory > Haunting | Time of Day > Afternoon | Time of Year > Fall,Intergenerational,Objects > Wisteria | Past > Past in present | Supernatural > Ghost,AA10,Mentioned,Goodhue Coldfield,White,Male,Middle Class,Secondary,Dies,,Sales and Service,Merchant,Coldfield House,"<p>Rosa Coldfield's ""papa,"" and Thomas Sutpen's father-in-law, is ""a Methodist steward, [and] a merchant"" (11).  He arrived in Jefferson from Tennessee half a decade before Sutpen, with a single wagonload of merchandise as the basis for his business.  Mr. Compson calls him a ""queer silent man whose only companion and friend seems to have been his conscience"" (47), though apparently he compromises that when he and Sutpen work a mysterious deal that provides the rich furnishings for Sutpen's mansion.  When he acquires two slaves ""though a debt . . . not purchase"" (68), he immediately manumits them, but withholds their free papers until as servants they earn the equivalent of their market value.   During the Civil War he nails himself inside the attic of his house, where Rosa provides him with food until his death.  Early on the narrative calls him ""a conscientious objector on religious grounds"" (6), but later it is suggested that the basis of his objection was not scriptural, but mercantile: ""the idea of waste: of wearing out and eating up and shooting away material in any cause whatsoever"" (65).</p><br />",Suicide,,,"Coldfield, Goodhue",15459,Individual,,,,0,Goodhue Coldfield,18942,"Coldfield, Father of Goodhue;Mrs. Coldfield(1)",,,,Coldfield House,Faulkner map,1267,851,-851,Coldfield House,Continuous,Middle-class House,Site of Event,,,
"Absalom, Absalom!",AA,15493,3,4,3.01,477,Narrated,06-09-09,06-09-09,Turn of the Century (1890-1913),From a little after two oclock until almost sundown,"<p>On a hot September afternoon, Quentin Compson is listening to Rosa Coldfield in the ""office"" of her house (3).  [SOURCE: Narrator]</p>",0,Emotional > Frustration | Perceptual > Listening | Verbal > Storytelling,"Allusion, Biblical > Crucifixion | Figures of Speech > Bird | Figures of Speech > Shadow | Figures of Speech > Voice | Figures of Speech > Water | Genre Conventions > Gothic | Metafictional | Narrative > Indeterminacy | Style > Long sentence",Clothes > Mourning | Sexuality > Frustration | Sexuality > Virginity,Atmospheric > Heat | Auditory > Haunting | Time of Day > Afternoon | Time of Year > Fall,Intergenerational,Objects > Wisteria | Past > Past in present | Supernatural > Ghost,AA10,Mentioned,Ellen Coldfield Sutpen,White,Female,Upper Class,Secondary,Dies,Sutpen,,,Sutpen Plantation,"<p>Ellen Sutpen, Sutpen's second wife, is the older daughter of Goodhue Coldfield. She is described as ""small-boned"" but also ""what is known as fullbodied"" (51).  According to the storytellers, Sutpen marries her to gain respectability.  The novel does not speculate on why she married Sutpen, but it describes her as very happy in the ""the part which she had written for herself"": ""chatelaine to the largest [plantation], wife to the wealthiest, mother of the most fortunate"" (54), blithely encouraging the courtship and anticipating the marriage of her daughter with the apparently very eligible Charles Bon - until reality, in the form of the trouble between her husband and her son and the exactions of the Civil War, prostrate her.    She is last seen in 1863 ""dying in bed in a darkened room"" where she had spent the last two years of her life (61, 62).</p><br />",,,,"Sutpen, Ellen Coldfield",15456,Individual,,,,1,Ellen Coldfield Sutpen,18941,Goodhue Coldfield,,,SutpensInAA,Coldfield House,Faulkner map,1267,851,-851,Coldfield House,Continuous,Middle-class House,Site of Event,,,
"Absalom, Absalom!",AA,15493,3,4,3.01,477,Narrated,06-09-09,06-09-09,Turn of the Century (1890-1913),From a little after two oclock until almost sundown,"<p>On a hot September afternoon, Quentin Compson is listening to Rosa Coldfield in the ""office"" of her house (3).  [SOURCE: Narrator]</p>",0,Emotional > Frustration | Perceptual > Listening | Verbal > Storytelling,"Allusion, Biblical > Crucifixion | Figures of Speech > Bird | Figures of Speech > Shadow | Figures of Speech > Voice | Figures of Speech > Water | Genre Conventions > Gothic | Metafictional | Narrative > Indeterminacy | Style > Long sentence",Clothes > Mourning | Sexuality > Frustration | Sexuality > Virginity,Atmospheric > Heat | Auditory > Haunting | Time of Day > Afternoon | Time of Year > Fall,Intergenerational,Objects > Wisteria | Past > Past in present | Supernatural > Ghost,AA10,Mentioned,Thomas Sutpen,White,Male,Upper Class,Major,Dead-ghost,Sutpen,Management,"Planter, Confederate Officer",Sutpen Plantation,"<p>At the center of <em>Absalom, Absalom!</em> is the story of Thomas Sutpen, from his childhood in the mountains of western Virginia to his violent death 62 years later in Yoknapatawpha. As one of the county's earliest, and certainly its largest planter, and a Confederate Colonel during the Civil War, he has a lot in common with John Sartoris, the man who represented the Old South's plantation aristocracy in Faulkner's first Yoknapatawpha fiction. At the start of the war, Sartoris and Sutpen work together to raise and lead the Confederate regiment that fights in Robert E. Lee's army. However, just as Sutpen takes Sartoris' place in command of that regiment, so the story of Thomas Sutpen affords a much more searching look than the Sartoris saga at the cultural issues of class, race and slavery - issues that are largely taken for granted in <em>Flags in the Dust</em>. It is a story that is told retrospectively, from almost half a century after his death, one that changes dramatically depending upon who is telling it. To Rosa Coldfield, for example, Sutpen is ""fiend blackguard and devil"" (10), the outsider on whom the defeat of the South can be blamed. Wash Jones sees him at different moments as both the redeemer he worships and the ""instrument"" of his ""despair and grief"" (232). Quentin Compson raises the novel's implicit question when he wonders if it took ""Thomas Sutpen to make all of us"" (210). One part of the story - of the ""innocent"" (178) young Sutpen's ""fall"" into the Old South (180) - he apparently tells himself, though it reaches the reader as it is passed on by Quentin's grandfather to his father, by this father to Quentin, and by Quentin himself to Shreve. As the absent embodiment of the past, Sutpen himself remains both indeterminate and inescapable. Sutpen's design, to revenge himself upon the plantation aristocracy by creating an aristocratic dynasty of his own, fails - tragically, or ironically, or perhaps even justly. But his legacy remains to haunt the characters who inherit his story.</p><br />",Murder,,,"Sutpen, Thomas",15469,Individual,,,,1,Thomas Sutpen,18923,Thomas Sutpen's Mother;Thomas Sutpen's Father,,,SutpensInAA,Coldfield House,Faulkner map,1267,851,-851,Coldfield House,Continuous,Middle-class House,Site of Event,,,
"Absalom, Absalom!",AA,15496,4,5,4.03,478,Narrated+Consciousness,06-09-09,06-09-09,Turn of the Century (1890-1913),Then hearing would reconcile and he would,"<p>In a kind of dialogue with himself, Quentin tries to understand the Sutpen story that, as a southerner, he has inherited.  [SOURCE: Narrator]</p>",0,Perceptual > Listening | Verbal > Dialogue,Figures of Speech > Negation | Typography/Orthography > Italics,Cultural Identity | Region > The South | Slavery > Labor | Violence,,,Story-telling | Supernatural > Ghost,AA10,Mentioned,Ellen Coldfield Sutpen,White,Female,Upper Class,Secondary,Dies,Sutpen,,,Sutpen Plantation,"<p>Ellen Sutpen, Sutpen's second wife, is the older daughter of Goodhue Coldfield. She is described as ""small-boned"" but also ""what is known as fullbodied"" (51).  According to the storytellers, Sutpen marries her to gain respectability.  The novel does not speculate on why she married Sutpen, but it describes her as very happy in the ""the part which she had written for herself"": ""chatelaine to the largest [plantation], wife to the wealthiest, mother of the most fortunate"" (54), blithely encouraging the courtship and anticipating the marriage of her daughter with the apparently very eligible Charles Bon - until reality, in the form of the trouble between her husband and her son and the exactions of the Civil War, prostrate her.    She is last seen in 1863 ""dying in bed in a darkened room"" where she had spent the last two years of her life (61, 62).</p><br />",,,,"Sutpen, Ellen Coldfield",15456,Individual,,,,1,Ellen Coldfield Sutpen,18941,Goodhue Coldfield,,,SutpensInAA,Coldfield House,Faulkner map,1267,851,-851,Coldfield House,Continuous,Middle-class House,Site of Event,,,
"Absalom, Absalom!",AA,15496,4,5,4.03,478,Narrated+Consciousness,06-09-09,06-09-09,Turn of the Century (1890-1913),Then hearing would reconcile and he would,"<p>In a kind of dialogue with himself, Quentin tries to understand the Sutpen story that, as a southerner, he has inherited.  [SOURCE: Narrator]</p>",0,Perceptual > Listening | Verbal > Dialogue,Figures of Speech > Negation | Typography/Orthography > Italics,Cultural Identity | Region > The South | Slavery > Labor | Violence,,,Story-telling | Supernatural > Ghost,AA10,Mentioned,Henry Sutpen,White,Male,Upper Class,Major,Dies,Sutpen,,,Sutpen Plantation,"<p>Henry Sutpen is the son whom Thomas Sutpen expects to inherit the Yoknapatawpha dynasty he tries to create.  Instead, on the eve of the Civil War he ""adjures his father and renounces his birthright and the roof under which he had been born"" (62) - and even so cannot escape his father's legacy, or, in the end, that house.  Mr. Compson describes him as both a ""humorless yokel"" (86) and a ""romantic"" (97), and refers more than once to Henry's ""curious relationship"" with his sister Judith (62, 79).  At college he meets Charles Bon, for whose sake he renounces his patrimony and with whom he serves throughout the Civil War, before killing him at the gate to Sutpen's Hundred during the war's last days.  That murder provides the narrative with the question that haunts it from beginning to end.</p><br />",Murder,,,"Sutpen, Henry",15461,Individual,,,,0,Henry Sutpen,18937,Ellen Coldfield Sutpen;Thomas Sutpen,,,SutpensInAA,Coldfield House,Faulkner map,1267,851,-851,Coldfield House,Continuous,Middle-class House,Site of Event,,,
"Absalom, Absalom!",AA,15496,4,5,4.03,478,Narrated+Consciousness,06-09-09,06-09-09,Turn of the Century (1890-1913),Then hearing would reconcile and he would,"<p>In a kind of dialogue with himself, Quentin tries to understand the Sutpen story that, as a southerner, he has inherited.  [SOURCE: Narrator]</p>",0,Perceptual > Listening | Verbal > Dialogue,Figures of Speech > Negation | Typography/Orthography > Italics,Cultural Identity | Region > The South | Slavery > Labor | Violence,,,Story-telling | Supernatural > Ghost,AA10,Mentioned,Judith Sutpen,White,Female,Upper Class,Major,Dies,Sutpen,,,Sutpen Plantation,"<p>Judith Sutpen, Thomas and Ellen's daughter, is described by Mr. Compson as ""the hoyden who could - and did - outrun and outclimb, and ride and fight both with and beside her brother"" (52).  Mr. Compson also refers to the  ""curious and unusual relationship"" between these siblings (79), calling them ""that single personality with two bodies"" (73), but on the whole the narrative emphasizes the differences in their character and their fates.  Stronger than her brother, Judith is nonetheless left at home while he rides away twice - first with her fiance and next after killing her fiance.  Her story is largely neglected and she herself largely silent.  In her one long speech, she talks to Quentin's grandmother about the human longing to leave ""something that would make a mark"" to outlast time in words that are not only eloquent but recognizably Faulknerian (101), but the written words she passes on preserve her dead fiance's voice and experience, not her own.  What the novel does show about Judith's life, however, testifies to her emotional and psychological strength: the girl who could stoically watch her father wrestling with his slaves becomes the woman who can keep up the failing plantation while her father is away at the war, who invites the woman she thinks was her fiance's mistress to visit the grave she made for him, and who, a ""unwived widow"" (110), adopts the orphan son of her murdered fiance and does the best she can to help him escape his vexed inheritance.  She cannot escape hers.  She dies of smallpox contracted while taking care that son inside her father's house.</p><br />",Disease,,,"Sutpen, Judith",15462,Individual,,,,0,Judith Sutpen,18938,Ellen Coldfield Sutpen;Thomas Sutpen,,,SutpensInAA,Coldfield House,Faulkner map,1267,851,-851,Coldfield House,Continuous,Middle-class House,Site of Event,,,
"Absalom, Absalom!",AA,15496,4,5,4.03,478,Narrated+Consciousness,06-09-09,06-09-09,Turn of the Century (1890-1913),Then hearing would reconcile and he would,"<p>In a kind of dialogue with himself, Quentin tries to understand the Sutpen story that, as a southerner, he has inherited.  [SOURCE: Narrator]</p>",0,Perceptual > Listening | Verbal > Dialogue,Figures of Speech > Negation | Typography/Orthography > Italics,Cultural Identity | Region > The South | Slavery > Labor | Violence,,,Story-telling | Supernatural > Ghost,AA10,Mentioned,Thomas Sutpen,White,Male,Upper Class,Major,Dead-ghost,Sutpen,Management,"Planter, Confederate Officer",Sutpen Plantation,"<p>At the center of <em>Absalom, Absalom!</em> is the story of Thomas Sutpen, from his childhood in the mountains of western Virginia to his violent death 62 years later in Yoknapatawpha. As one of the county's earliest, and certainly its largest planter, and a Confederate Colonel during the Civil War, he has a lot in common with John Sartoris, the man who represented the Old South's plantation aristocracy in Faulkner's first Yoknapatawpha fiction. At the start of the war, Sartoris and Sutpen work together to raise and lead the Confederate regiment that fights in Robert E. Lee's army. However, just as Sutpen takes Sartoris' place in command of that regiment, so the story of Thomas Sutpen affords a much more searching look than the Sartoris saga at the cultural issues of class, race and slavery - issues that are largely taken for granted in <em>Flags in the Dust</em>. It is a story that is told retrospectively, from almost half a century after his death, one that changes dramatically depending upon who is telling it. To Rosa Coldfield, for example, Sutpen is ""fiend blackguard and devil"" (10), the outsider on whom the defeat of the South can be blamed. Wash Jones sees him at different moments as both the redeemer he worships and the ""instrument"" of his ""despair and grief"" (232). Quentin Compson raises the novel's implicit question when he wonders if it took ""Thomas Sutpen to make all of us"" (210). One part of the story - of the ""innocent"" (178) young Sutpen's ""fall"" into the Old South (180) - he apparently tells himself, though it reaches the reader as it is passed on by Quentin's grandfather to his father, by this father to Quentin, and by Quentin himself to Shreve. As the absent embodiment of the past, Sutpen himself remains both indeterminate and inescapable. Sutpen's design, to revenge himself upon the plantation aristocracy by creating an aristocratic dynasty of his own, fails - tragically, or ironically, or perhaps even justly. But his legacy remains to haunt the characters who inherit his story.</p><br />",Murder,,,"Sutpen, Thomas",15469,Individual,,,,1,Thomas Sutpen,18923,Thomas Sutpen's Mother;Thomas Sutpen's Father,,,SutpensInAA,Coldfield House,Faulkner map,1267,851,-851,Coldfield House,Continuous,Middle-class House,Site of Event,,,
"Absalom, Absalom!",AA,15496,4,5,4.03,478,Narrated+Consciousness,06-09-09,06-09-09,Turn of the Century (1890-1913),Then hearing would reconcile and he would,"<p>In a kind of dialogue with himself, Quentin tries to understand the Sutpen story that, as a southerner, he has inherited.  [SOURCE: Narrator]</p>",0,Perceptual > Listening | Verbal > Dialogue,Figures of Speech > Negation | Typography/Orthography > Italics,Cultural Identity | Region > The South | Slavery > Labor | Violence,,,Story-telling | Supernatural > Ghost,AA10,Mentioned,Unnamed Twenty Original Sutpen Slaves,Black,Multi Gender Group,Enslaved Black,Secondary,Alive,,,,Slave Quarters at Sutpen's,"<p>This icon represents the twenty ""wild blacks"" whom Sutpen brings as slaves to Yoknaptawpha in 1833 (4), from a French colony in the Caribbean; the ""civilized language"" which they speak (44) is ""a sort of French"" (27).  Sutpen has a child - Clytemnestra - with one of the two slaves in this group who are women (48).  The narrative repeatedly calls them ""wild"" (13, 16, etc.), and distinguishes them as a group from the ""tame"" slaves that Sutpen later acquires, through birth or purchase (17).  Rosa characterizes them as being ""like beasts half tamed to walk upright like men"" (4).  When Mr. Compson passes on to his son the story he heard from his father about using these slaves to track the runaway architect through the woods, he speculates that they may be cannibals expecting to eat their prey (206).  Working with Sutpen, they build his huge mansion.  For the entertainment of a white male audience, at least several of them wrestle with each other and with Sutpen - according to Rosa, ""fighting not like white men fight . . . but like negroes"" (20).  During the Civil War, like ""all of Sutpen's negroes,"" they self-emancipate by ""following the Yankee troops away"" (67).</p><br />",,,,Unnamed Twenty Original Sutpen Slaves,15326,Group,,,,1,Unnamed Imported Slaves of Sutpen,22606,,,,,Coldfield House,Faulkner map,1267,851,-851,Coldfield House,Continuous,Middle-class House,Site of Event,,,
"Absalom, Absalom!",AA,15497,5,5,5.01,479,Narrated,06-09-09,06-09-09,Turn of the Century (1890-1913),"""Because you are going away to attend the college",<p>Rosa explains why she is telling Quentin the Sutpen story.  [SOURCE: Narrator]</p>,0,Perceptual > Listening | Verbal > Storytelling,,Class > Professional | Cultural Identity > North vs South | Education > Harvard,,Intergenerational,Arrivals/Departures > Departure | Philosophical > Power of literature,AA10,Mentioned,Unnamed Northern People,White,Multi Gender Group,MultiClass Group,Peripheral,Alive,,,,,"<p>In Miss Rosa's mind, these ""Northern people"" have destroyed ""the South"" (5).</p><br />",,,,Unnamed Northern People,15498,Group,,,Created by a Character in Text,0,Unnamed Northern People,22573,,,,,Coldfield House,Faulkner map,1267,851,-851,Coldfield House,Continuous,Middle-class House,Site of Event,,,
