EventID,PageNumber,PageEventEnds,OrderWithinPage,Chronological Order,NarrativeStatus,StartDate,EndDate,Era,Summary,LocationID,PresentMentioned,CharacterName,Race,Gender,Class,Rank,LocationTitle,X,Y,new_y,narrator,begin_word,end_word,event_sentence,event_words,chapter
15911,176,177,176.01,534,Narrated,1910-01-13,1910-01-13,Turn of the Century (1890-1913),<p>The chapter begins by re-setting the scene in the Harvard dorm room.  [SOURCE: Narrator]</p>,AA289,Mentioned,Thomas Sutpen,White,Male,Upper Class,Major,Harvard University,2571,831,-831, Narrator,there was no snow on shreve's arm now,he told grandfather about it he said that time,there was no snow on shreve's arm now no sleeve on his arm at all now only the smooth cupid fleshed forearm and hand coming back into the lamp and taking a pipe from the empty coffee can where he kept them filling it and lighting it so it is zero outside quentin thought soon he will raise the window and do deep breathing in it clench fisted and naked to the waist in the warm and rosy orifice above the iron quad but he had not done so yet and now the moment the thought was an hour past and the pipe lay smoked out and overturned and cold with a light sprinkling of ashes about it on the table before shreve's crossed pink bright haired arms while he watched quentin from behind the two opaque and lamp glared moons of his spectacles so he just wanted a grandson he said that was all he was after jesus the south is fine isn't it it's better than the theatre isn't it it's better than ben hur isn't it no wonder you have to come away now and then isn't it quentin did not answer he sat quite still facing the table his hands lying on either side of the open text book on which the letter rested the rectangle of paper folded across the middle and now open three quarters open whose bulk had raised half itself by the leverage of the old crease in weightless and paradoxical levitation lying at such an angle that he could not possibly have read it deciphered it even without this added distortion yet he seemed to be looking at it or as near as shreve could tell he was his face lowered a little brooding almost sullen,295,7
15912,177,177,177.01,63,Told,1834-06-01,1834-08-31,Antebellum (1831-1860),"<p>Quentin begins Sutpen's own version of his story by mentioning the time ""the architect"" tried to run away (177).  [SOURCE: Grandfather, Quentin]</p>",AA17,Present,General Compson,White,Male,Upper Class,Secondary,Sutpen Plantation,785,193,-193," Grandfather, Quentin",he told grandfather about it he said that time,the demon hey shreve said quentin did not,he told grandfather about it he said that time when the architect escaped tried to tried to escape into the river bottom and go back to new orleans or wherever it was and he,34,7
15913,177,177,177.02,535,Narrated,1910-01-13,1910-01-13,Turn of the Century (1890-1913),"<p>Shreve interrupts Quentin's story-telling, as he will do a number of times in this chapter; the narrator describes his appearance, bare-chested at the table.  [SOURCE: Narrator]</p>",AA289,Mentioned,Thomas Sutpen,White,Male,Upper Class,Major,Harvard University,2571,831,-831, Narrator,the demon hey shreve said quentin did not,sent word in to grandfather and some others,the demon hey shreve said quentin did not answer him did not pause his voice level curious a little dreamy yet still with that overtone of sullen bemusement of smoldering outrage so that shreve still too resembling in his spectacles and nothing else from the waist down the table concealed him anyone entering the room would have taken him to be stark naked a baroque effigy created out of colored cake dough by someone with a faintly nightmarish affinity for the perverse watched him with thoughtful and intent curiosity,89,7
15914,177,177,177.03,65,Told,1834-06-01,1834-08-31,Antebellum (1831-1860),"<p>Quentin resumes his story-telling, anticipating the end of the pursuit for the escaped architect.  [SOURCE: Grandfather, Quentin]</p>",AA155,Present,General Compson,White,Male,Upper Class,Secondary,Tallahatchie River Bottom,1709,121,-121," Grandfather, Quentin",sent word in to grandfather and some others,maybe he had a girl shreve said or maybe,sent word in to grandfather and some others and got his dogs and his wild niggers out and hunted the architect down and made him take earth in a cave under the river bank two days later that was in the second summer when they had finished all the brick and had the foundations laid and most of the big timbers cut and trimmed and one day the architect couldn't stand it anymore or he was afraid he would starve or that the wild niggers and maybe colonel sutpen too would run out of grub and eat him or maybe he got homesick or maybe he just had to go,110,7
15915,177,177,177.04,537,Narrated,1910-01-13,1910-01-13,Turn of the Century (1890-1913),"<p>Shreve again interrupts, speculating on why the architect ran away; Quentin does not reply, sitting before the letter from his father.  [SOURCE: Narrator]</p>",AA289,Mentioned,Thomas Sutpen,White,Male,Upper Class,Major,Harvard University,2571,831,-831, Narrator,maybe he had a girl shreve said or maybe,and so he went he seemed to vanish in broad,maybe he had a girl shreve said or maybe he just wanted a girl you said the demon and the niggers didn't have but two quentin did not answer this either again he might not have heard talking in that curious repressed calm voice as though to the table before him or the book upon it or the letter upon the book or his hands lying on either side of the book,72,7
15916,177,178,177.05,64,Told,1834-06-01,1834-08-31,Antebellum (1831-1860),"<p>When Sutpen discovers the architect has fled, he makes plans to hunt him.  [SOURCE: Grandfather, Quentin]</p>",AA17,Mentioned,Unnamed Men Who Hunt Architect,White,Male,MultiClass Group,Minor,Sutpen Plantation,785,193,-193," Grandfather, Quentin",and so he went he seemed to vanish in broad,and grandfather he was young then too brought,and so he went he seemed to vanish in broad daylight right out from the middle of twenty one people or maybe it was just sutpen's back that was turned and that the niggers saw him go and didn't think it needed mentioning that being wild men they probably didn't know what sutpen himself was up to and him naked in the mud with them all day so i reckon they never did know what the architect was there for supposed to do or had done or could do or was so maybe they thought sutpen had sent him told him to go away and drown himself go away and die or maybe just go away so he did jumped up in broad daylight in his embroidered vest and fauntleroy tie and a hat like a baptist congressman and probably carrying the hat in his hand and ran into the swamp and the niggers watched him out of sight and then went back to work and sutpen didn't see it didn't even miss him until night suppertime probably and the niggers told him and he declared a holiday tomorrow because he would have to get out and borrow some dogs not that he would have needed dogs with his niggers to trail but maybe he thought that the guests the others would not be used to trailing with niggers and would expect dogs,233,7
15917,178,178,178.01,66,Told,1834-06-02,1834-08-31,Turn of the Century (1890-1913),"<p>Men bring champagne, whiskey and dogs as they prepare to help Sutpen hunt the runaway architect.  [SOURCE: Grandfather, Quentin]</p>",AA17,Present,General Compson,White,Male,Upper Class,Secondary,Sutpen Plantation,785,193,-193," Grandfather, Quentin",and grandfather he was young then too brought,then it was daylight and the dogs had a,and grandfather he was young then too brought some champagne and some of the others brought whiskey and they began to gather out there a little after sundown at his house that didn't even have walls yet that wasn't anything yet but some lines of bricks sunk into the ground but that was all right because they didn't go to bed anyhow grandfather said they just sat around the fire with the champagne and the whiskey and a quarter of the last venison he had killed and about midnight the man with the dogs came,95,7
15918,178,178,178.02,67,Told,1834-06-03,1834-08-31,Antebellum (1831-1860),"<p>The hunt for the escaped architect begins, with Sutpen and General Compson riding in company.  [SOURCE: Grandfather, Quentin]</p>",AA17,Mentioned,French Architect,White,Male,Middle Class,Minor,Sutpen Plantation,785,193,-193," Grandfather, Quentin",then it was daylight and the dogs had a,and so he told grandfather something about it,then it was daylight and the dogs had a little trouble at first because some of the wild niggers had run out about a mile of the trail just for fun but they got the trail straightened out at last the dogs and the niggers in the bottom and most of the men riding along the edge of it where the going was good but grandfather and colonel sutpen went with the dogs and the niggers because sutpen was afraid the niggers might catch the architect before he could reach them he and grandfather had to walk a good deal sending one of the niggers to lead the horses on around the bad places until they could ride again grandfather said it was fine weather and the trail lay pretty good but he said it would have been fine if the architect had just waited until october or november,149,7
15919,178,179,178.03,10,Told,1820-03-01,1820-12-31,Pre-Removal (-1830),"<p>Sutpen begins telling Grandfather his story, which Quentin introduces with the idea of ""innocence"" (178).  [SOURCE: Sutpen, Grandfather, Quentin]</p>",AA17,Present,Thomas Sutpen,White,Male,Upper Class,Major,Sutpen Plantation,785,193,-193," Sutpen, Grandfather, Quentin",and so he told grandfather something about it,not in west virginia shreve said what quentin,and so he told grandfather something about it his trouble was innocence all of a sudden he discovered not what he wanted to do but what he just had to do had to do it whether he wanted to or not because if he did not do it he knew that he could never live with himself for the rest of his life never live with what all the men and women that had died to make him had left inside of him for him to pass on with all the dead ones waiting and watching to see if he was going to do it right fix things right so that he would be able to look in the face not only the old dead ones but all the living ones that would come after him when he would be one of the dead and that at the very moment when he discovered what it was he found out that this was the last thing in the world he was equipped to do because he not only had not known that he would have to do this he did not even know that it existed to be wanted to need to be done until he was almost fourteen years old because he was born in west virginia in the mountains where,221,7
15920,179,179,179.01,538,Narrated,1910-01-13,1910-01-13,Turn of the Century (1890-1913),<p>Shreve interrupts Quentin to remind him that before the Civil War the state of West Virginia did not exist.  [SOURCE: Narrator]</p>,AA289,Mentioned,Thomas Sutpen,White,Male,Upper Class,Major,Harvard University,2571,831,-831, Narrator,not in west virginia shreve said what quentin,where what few other people he knew lived,not in west virginia shreve said what quentin said not in west virginia shreve said because if he was twenty five years old in mississippi in 1833 he was born in 1808 and there wasn't any west virginia in 1808 because all right quentin said west virginia wasn't admitted all right all right quentin said into the united states until all right all right all right quentin said,68,7
